farmacia_nro_soe,titular_nombre,titular_nombre_id,direccion_vial_tipo,direccion_completa,same_as_wikidata_road,direccion_vial_id,direccion_vial_nombre,direccion_vial_nombre_id,direccion_vial_nro,km,municipio_nombre,same_as_wikidata_municipalityofspain,municipio_nombre_id,localizacion_coordenada_x,localizacion_coordenada_y
2,Amaya Corral Palomino,Amaya_Corral_Palomino,PLAZA,PLAZA del Dos de Mayo,https://wikidata.org/entity/Q1531008,PLAZA_del_Dos_de_Mayo_Madrid,del Dos de Mayo,del_Dos_de_Mayo,6,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440267,4475426
3,Montserrat Gimenez Mestre,Montserrat_Gimenez_Mestre,CALLE,CALLE de Rios Rosas,https://wikidata.org/entity/Q27267331,CALLE_de_Rios_Rosas_Madrid,de Rios Rosas,de_Rios_Rosas,50,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440954,4477004
4,Justo Aquilino Corral Aragon,Justo_Aquilino_Corral_Aragon,CALLE,CALLE de Argensola,https://wikidata.org/entity/Q28525557,CALLE_de_Argensola_Madrid,de Argensola,de_Argensola,12,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441063,4475193
5,Irene Arroita Del Campo,Irene_Arroita_Del_Campo,CALLE,CALLE de Alcala,https://wikidata.org/entity/Q2424746,CALLE_de_Alcala_Madrid,de Alcala,de_Alcala,98,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442754,4475148
6,Esther Sansi Ponsico,Esther_Sansi_Ponsico,PLAZA,PLAZA de Salesas,https://wikidata.org/entity/Q28916480,PLAZA_de_Salesas_Madrid,de Salesas,de_Salesas,7,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441090,4475021
7,Pilar Velez De Mendoza,Pilar_Velez_De_Mendoza,CALLE,CALLE de Leopoldo Alas Clarin,,CALLE_de_Leopoldo_Alas_Clarin_Madrid,de Leopoldo Alas Clarin,de_Leopoldo_Alas_Clarin,8,,Madrid,http://wikidata.org/entity/Q2807,Madrid,437825,4481330
8,Manuel Baños Lopez,Manuel_Baños_Lopez,CALLE,CALLE Caceres,,CALLE_Caceres_San_Fernando_de_Henares,Caceres,Caceres,5,,San Fernando de Henares,http://wikidata.org/entity/Q842211,San_Fernando_de_Henares,454673,4475306
9,Roberto Garcia Sanchez,Roberto_Garcia_Sanchez,GTA,GTA de Lopez de Hoyos,,GTA_de_Lopez_de_Hoyos_Madrid,de Lopez de Hoyos,de_Lopez_de_Hoyos,3,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442277,4476922
10,David Lagos Sanchez,David_Lagos_Sanchez,CALLE,CALLE del Valle de Mena,,CALLE_del_Valle_de_Mena_Madrid,del Valle de Mena,del_Valle_de_Mena,4,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439379,4480188
11,Rosa Maria Perello Gonzalez-Moreno,Rosa_Maria_Perello_Gonzalez-Moreno,CALLE,CALLE del Principe de Vergara,https://wikidata.org/entity/Q5741020,CALLE_del_Principe_de_Vergara_Madrid,del Principe de Vergara,del_Principe_de_Vergara,210,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442561,4478050
12,Maria Cruz Lamela Martinez,Maria_Cruz_Lamela_Martinez,CALLE,CALLE del General Pardiñas,https://wikidata.org/entity/Q28065178,CALLE_del_General_Pardiñas_Madrid,del General Pardiñas,del_General_Pardiñas,61,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442473,4475915
14,Rosario Jaroso Almodovar,Rosario_Jaroso_Almodovar,CALLE,CALLE Velazquez,https://wikidata.org/entity/Q20031523,CALLE_Velazquez_Loeches,Velazquez,Velazquez,2-4,,Loeches,http://wikidata.org/entity/Q1646206,Loeches,465215,4470371
15,Mercedes Valdes Galera,Mercedes_Valdes_Galera,CALLE,CALLE de Gutenberg,https://wikidata.org/entity/Q29051384,CALLE_de_Gutenberg_Madrid,de Gutenberg,de_Gutenberg,20,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442273,4473116
16,Jose Carlos Montilla Illera,Jose_Carlos_Montilla_Illera,CALLE,CALLE de Preciados,https://wikidata.org/entity/Q5552155,CALLE_de_Preciados_Madrid,de Preciados,de_Preciados,19,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440152,4474506
17,Alejandro Jimenez Gamella,Alejandro_Jimenez_Gamella,CALLE,CALLE del Alcalde Henche de la Plata,,CALLE_del_Alcalde_Henche_de_la_Plata_Madrid,del Alcalde Henche de la Plata,del_Alcalde_Henche_de_la_Plata,7,,Madrid,http://wikidata.org/entity/Q2807,Madrid,444924,4482163
18,Emilio Manuel Allue Gomez,Emilio_Manuel_Allue_Gomez,CALLE,CALLE de Ponzano,https://wikidata.org/entity/Q26737707,CALLE_de_Ponzano_Madrid,de Ponzano,de_Ponzano,31,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440683,4476762
19,Marta Llorente Garcia,Marta_Llorente_Garcia,AVDA,AVDA General,,AVDA_General_Madrid,General,General,1,,Madrid,http://wikidata.org/entity/Q2807,Madrid,451019,4480449
20,Maria Gloria Sanchez Pastor,Maria_Gloria_Sanchez_Pastor,PASEO,PASEO de Santa Maria de la Cabeza,https://wikidata.org/entity/Q6065630,PASEO_de_Santa_Maria_de_la_Cabeza_Madrid,de Santa Maria de la Cabeza,de_Santa_Maria_de_la_Cabeza,80,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440463,4472251
21,Leyre De La Iglesia Santamaria,Leyre_De_La_Iglesia_Santamaria,CALLE,CALLE de Rodriguez San Pedro,https://wikidata.org/entity/Q27031515,CALLE_de_Rodriguez_San_Pedro_Madrid,de Rodriguez San Pedro,de_Rodriguez_San_Pedro,23,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439688,4475906
22,Ana Maria Quintas Rodriguez,Ana_Maria_Quintas_Rodriguez,CALLE,CALLE de Feijoo,https://wikidata.org/entity/Q28024252,CALLE_de_Feijoo_Madrid,de Feijoo,de_Feijoo,12,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440361,4476244
23,Maria Pilar Fernandez Lopez-Ayllon,Maria_Pilar_Fernandez_Lopez-Ayllon,CALLE,CALLE de Diego de Leon,https://wikidata.org/entity/Q28059485,CALLE_de_Diego_de_Leon_Madrid,de Diego de Leon,de_Diego_de_Leon,34,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442211,4476226
25,Maria Del Mar Acuyo Iriarte,Maria_Del_Mar_Acuyo_Iriarte,CALLE,CALLE Madrid,https://wikidata.org/entity/Q5740601,CALLE_Madrid_Getafe,Madrid,Madrid,48,,Getafe,http://wikidata.org/entity/Q8802,Getafe,438001,4462161
26,Luis Ceña Guisado,Luis_Ceña_Guisado,CALLE,CALLE de Juan Zofio,,CALLE_de_Juan_Zofio_Madrid,de Juan Zofio,de_Juan_Zofio,4,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439237,4470321
27,Juan Antonio Ciller Cortes,Juan_Antonio_Ciller_Cortes,CALLE,CALLE de la Ilustracion,,CALLE_de_la_Ilustracion_Madrid,de la Ilustracion,de_la_Ilustracion,8,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439175,4474765
28,Jose Ramon Barro Arranz,Jose_Ramon_Barro_Arranz,CALLE,CALLE del General Ricardos,https://wikidata.org/entity/Q5740542,CALLE_del_General_Ricardos_Madrid,del General Ricardos,del_General_Ricardos,118,,Madrid,http://wikidata.org/entity/Q2807,Madrid,438361,4471542
29,Margarita De Vicente Galan,Margarita_De_Vicente_Galan,CALLE,CALLE de Eugenia de Montijo,https://wikidata.org/entity/Q52833570,CALLE_de_Eugenia_de_Montijo_Madrid,de Eugenia de Montijo,de_Eugenia_de_Montijo,43,,Madrid,http://wikidata.org/entity/Q2807,Madrid,436897,4470374
30,Beatriz Piñero Panadero,Beatriz_Piñero_Panadero,CALLE,CALLE de Hortaleza,https://wikidata.org/entity/Q5740911,CALLE_de_Hortaleza_Madrid,de Hortaleza,de_Hortaleza,44,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440650,4474853
31,Eduardo San Nicolas Lopez,Eduardo_San_Nicolas_Lopez,CALLE,CALLE de Ramon Esteban,,CALLE_de_Ramon_Esteban_San_Sebastian_de_los_Reyes,de Ramon Esteban,de_Ramon_Esteban,27,,San Sebastian de los Reyes,http://wikidata.org/entity/Q484717,San_Sebastian_de_los_Reyes,446730,4488417
33,Irene Mercedes Fernandez Gonzalo,Irene_Mercedes_Fernandez_Gonzalo,AVDA,AVDA de Peña Prieta,,AVDA_de_Peña_Prieta_Madrid,de Peña Prieta,de_Peña_Prieta,16,,Madrid,http://wikidata.org/entity/Q2807,Madrid,443339,4472281
34,Maria Isabel Fernandez Cabrera,Maria_Isabel_Fernandez_Cabrera,PLAZA,PLAZA Mayor,,PLAZA_Mayor_Cercedilla,Mayor,Mayor,7,,Cercedilla,http://wikidata.org/entity/Q1646215,Cercedilla,410894,4510574
35,Marta Covadonga Nestares Lopez,Marta_Covadonga_Nestares_Lopez,CALLE,CALLE de Goya,https://wikidata.org/entity/Q28015873,CALLE_de_Goya_Madrid,de Goya,de_Goya,55,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442205,4475180
37,Fernando Ausin Puertas,Fernando_Ausin_Puertas,AVDA,AVDA de la Ciudad de Barcelona,,AVDA_de_la_Ciudad_de_Barcelona_Madrid,de la Ciudad de Barcelona,de_la_Ciudad_de_Barcelona,101,,Madrid,http://wikidata.org/entity/Q2807,Madrid,443006,4472342
38,Paloma Bañon Blasco,Paloma_Bañon_Blasco,CALLE,CALLE de Toledo,https://wikidata.org/entity/Q5740883,CALLE_de_Toledo_Madrid,de Toledo,de_Toledo,129,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439617,4473052
39,Miguel Angel Alegre Sanz,Miguel_Angel_Alegre_Sanz,AVDA,AVDA de Peña Prieta,,AVDA_de_Peña_Prieta_Madrid,de Peña Prieta,de_Peña_Prieta,39,,Madrid,http://wikidata.org/entity/Q2807,Madrid,443529,4472523
40,Olga Ma Toro Ferrandez,Olga_Ma_Toro_Ferrandez,CALLE,CALLE de Alonso Cano,https://wikidata.org/entity/Q27314531,CALLE_de_Alonso_Cano_Madrid,de Alonso Cano,de_Alonso_Cano,69,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440833,4476994
41,Maria Del Carmen Comendador Sanchez-Serrano,Maria_Del_Carmen_Comendador_Sanchez-Serrano,PASEO,PASEO del General Martinez Campos,https://wikidata.org/entity/Q26792155,PASEO_del_General_Martinez_Campos_Madrid,del General Martinez Campos,del_General_Martinez_Campos,22,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441055,4476262
42,Ana Maria De Diego Lopez,Ana_Maria_De_Diego_Lopez,CALLE,CALLE de San Bernardo,https://wikidata.org/entity/Q5740864,CALLE_de_San_Bernardo_Madrid,de San Bernardo,de_San_Bernardo,115,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440212,4476019
43,Javier Casado De La Sen,Javier_Casado_De_La_Sen,PASEO,PASEO de Maria Lejarraga,,PASEO_de_Maria_Lejarraga_Getafe,de Maria Lejarraga,de_Maria_Lejarraga,6,,Getafe,http://wikidata.org/entity/Q8802,Getafe,436013,4461317
44,Belen Gutierrez Abbad,Belen_Gutierrez_Abbad,CALLE,CALLE de Alonso Heredia,,CALLE_de_Alonso_Heredia_Madrid,de Alonso Heredia,de_Alonso_Heredia,22,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442970,4476345
45,Alba Maria Calvo Fernandez,Alba_Maria_Calvo_Fernandez,CALLE,CALLE del General Ricardos,https://wikidata.org/entity/Q5740542,CALLE_del_General_Ricardos_Madrid,del General Ricardos,del_General_Ricardos,183,,Madrid,http://wikidata.org/entity/Q2807,Madrid,437061,4470536
46,Juan Jose Pernia Valdes,Juan_Jose_Pernia_Valdes,PLAZA,PLAZA del Ángel,https://wikidata.org/entity/Q5800864,PLAZA_del_Ángel_Madrid,del Ángel,del_Ángel,14,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440395,4473982
47,Margarita Fernandez De Clerck,Margarita_Fernandez_De_Clerck,CALLE,CALLE de Moreto,,CALLE_de_Moreto_Madrid,de Moreto,de_Moreto,15,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441441,4473851
48,Marta Rosa Munar Gelabert,Marta_Rosa_Munar_Gelabert,CALLE,CALLE de Goya,https://wikidata.org/entity/Q28015873,CALLE_de_Goya_Madrid,de Goya,de_Goya,19,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441737,4475214
49,Fernando Modesto Blanco Fernandez,Fernando_Modesto_Blanco_Fernandez,PASEO,PASEO de la Ermita del Santo,https://wikidata.org/entity/Q28137105,PASEO_de_la_Ermita_del_Santo_Madrid,de la Ermita del Santo,de_la_Ermita_del_Santo,42,,Madrid,http://wikidata.org/entity/Q2807,Madrid,438580,4473426
50,Belen Fernandez-Montes Moraleda,Belen_Fernandez-Montes_Moraleda,AVDA,AVDA de Portugal,,AVDA_de_Portugal_Madrid,de Portugal,de_Portugal,155,,Madrid,http://wikidata.org/entity/Q2807,Madrid,437403,4473659
51,Ana Maria Cubillas Triana,Ana_Maria_Cubillas_Triana,CALLE,CALLE de Maria Tubau,,CALLE_de_Maria_Tubau_Madrid,de Maria Tubau,de_Maria_Tubau,19,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442516,4484728
52,Carlos Jose Martinez Honduvilla,Carlos_Jose_Martinez_Honduvilla,CALLE,CALLE del Meson de Paredes,https://wikidata.org/entity/Q5686332,CALLE_del_Meson_de_Paredes_Madrid,del Meson de Paredes,del_Meson_de_Paredes,8,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440169,4473667
53,Maria Teresa Villegas Perez,Maria_Teresa_Villegas_Perez,CALLE,CALLE de Garcia de Paredes,https://wikidata.org/entity/Q27999056,CALLE_de_Garcia_de_Paredes_Madrid,de Garcia de Paredes,de_Garcia_de_Paredes,80,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441182,4476439
54,Juan Jose Gomez-Virseda Martinez,Juan_Jose_Gomez-Virseda_Martinez,PLAZA,PLAZA de Cascorro,https://wikidata.org/entity/Q6079936,PLAZA_de_Cascorro_Madrid,de Cascorro,de_Cascorro,2,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440004,4473639
55,Jose Maria Rivera De Soto,Jose_Maria_Rivera_De_Soto,CALLE,CALLE de Ferraz,https://wikidata.org/entity/Q5740837,CALLE_de_Ferraz_Madrid,de Ferraz,de_Ferraz,13,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439105,4475348
56,Rosa Maria Serradilla Lancho,Rosa_Maria_Serradilla_Lancho,PLAZA,PLAZA de Verin,,PLAZA_de_Verin_Madrid,de Verin,de_Verin,3,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439917,4481035
57,Ma Soledad Martinez-Avial Dolz De Espejo,Ma_Soledad_Martinez-Avial_Dolz_De_Espejo,CALLE,CALLE de Serrano,https://wikidata.org/entity/Q5740879,CALLE_de_Serrano_Madrid,de Serrano,de_Serrano,112,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441796,4476326
58,Mercedes Bru Gorraiz,Mercedes_Bru_Gorraiz,CALLE,CALLE de Sanchez Barcaiztegui,https://wikidata.org/entity/Q29578550,CALLE_de_Sanchez_Barcaiztegui_Madrid,de Sanchez Barcaiztegui,de_Sanchez_Barcaiztegui,19,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442732,4472805
59,Monica Sevilleja Mendez,Monica_Sevilleja_Mendez,CALLE,CALLE de Jose Antonio de Armona,,CALLE_de_Jose_Antonio_de_Armona_Madrid,de Jose Antonio de Armona,de_Jose_Antonio_de_Armona,22,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440865,4472892
60,Ma Cristina Perez Sobejano,Ma_Cristina_Perez_Sobejano,CALLE,CALLE de Quintana,https://wikidata.org/entity/Q28016208,CALLE_de_Quintana_Madrid,de Quintana,de_Quintana,20,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439103,4475489
61,Ma Blanca Caballero Salgado,Ma_Blanca_Caballero_Salgado,CALLE,CALLE de Atocha,https://wikidata.org/entity/Q5492657,CALLE_de_Atocha_Madrid,de Atocha,de_Atocha,109,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441029,4473554
62,Victor Plaza Piñol,Victor_Plaza_Piñol,CALLE,CALLE de la Marquesa Viuda Aldama,,CALLE_de_la_Marquesa_Viuda_Aldama_Alcobendas,de la Marquesa Viuda Aldama,de_la_Marquesa_Viuda_Aldama,12,,Alcobendas,http://wikidata.org/entity/Q487679,Alcobendas,446396,4488007
64,Maria Grau De Oña,Maria_Grau_De_Oña,PASEO,PASEO de la Florida,https://wikidata.org/entity/Q5576961,PASEO_de_la_Florida_Madrid,de la Florida,de_la_Florida,47,,Madrid,http://wikidata.org/entity/Q2807,Madrid,438580,4474998
65,Jose Carlos Palomino Marmol,Jose_Carlos_Palomino_Marmol,CALLE,CALLE Alfonso Senra,,CALLE_Alfonso_Senra_Guadarrama,Alfonso Senra,Alfonso_Senra,20,,Guadarrama,http://wikidata.org/entity/Q517450,Guadarrama,407887,4503023
66,Rosario Piñol Santaeularia,Rosario_Piñol_Santaeularia,CALLE,CALLE de la Magdalena,https://wikidata.org/entity/Q17181780,CALLE_de_la_Magdalena_Madrid,de la Magdalena,de_la_Magdalena,33,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440631,4473767
67,Maria Dolores Lopez Jimenez,Maria_Dolores_Lopez_Jimenez,CALLE,CALLE de Cartagena,https://wikidata.org/entity/Q27038851,CALLE_de_Cartagena_Madrid,de Cartagena,de_Cartagena,121,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442734,4476991
68,Carlota Maria Pastor Sopelana,Carlota_Maria_Pastor_Sopelana,CALLE,CALLE de Carlos Morla Lynch,,CALLE_de_Carlos_Morla_Lynch_Madrid,de Carlos Morla Lynch,de_Carlos_Morla_Lynch,2,,Madrid,http://wikidata.org/entity/Q2807,Madrid,434186,4485594
70,Tomas Andres Bueno Ibañez,Tomas_Andres_Bueno_Ibañez,PASEO,PASEO de Juan Antonio Vallejo-Najera Botas,https://wikidata.org/entity/Q33093309,PASEO_de_Juan_Antonio_Vallejo-Najera_Botas_Madrid,de Juan Antonio Vallejo-Najera Botas,de_Juan_Antonio_Vallejo-Najera_Botas,25,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439910,4472595
71,Ma Teresa Guerra Herrero,Ma_Teresa_Guerra_Herrero,AVDA,AVDA de la Albufera,https://wikidata.org/entity/Q5714221,AVDA_de_la_Albufera_Madrid,de la Albufera,de_la_Albufera,432,,Madrid,http://wikidata.org/entity/Q2807,Madrid,446500,4470379
72,Ma Victoria Granados Jimenez,Ma_Victoria_Granados_Jimenez,RONDA,RONDA de Atocha,https://wikidata.org/entity/Q26831149,RONDA_de_Atocha_Madrid,de Atocha,de_Atocha,24,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440753,4473099
73,Aitor Gregorio Purroy Garcia,Aitor_Gregorio_Purroy_Garcia,AVDA,AVDA de los Andes,,AVDA_de_los_Andes_Madrid,de los Andes,de_los_Andes,22,,Madrid,http://wikidata.org/entity/Q2807,Madrid,447348,4478414
74,Agueda Calle Iglesias,Agueda_Calle_Iglesias,AVDA,AVDA de Pablo Neruda,,AVDA_de_Pablo_Neruda_Madrid,de Pablo Neruda,de_Pablo_Neruda,124,,Madrid,http://wikidata.org/entity/Q2807,Madrid,444368,4470323
75,Maria Inmaculada Esteban Merinero,Maria_Inmaculada_Esteban_Merinero,CALLE,CALLE del Pez,https://wikidata.org/entity/Q5741017,CALLE_del_Pez_Madrid,del Pez,del_Pez,25,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440088,4475059
76,Elena Sole Duch,Elena_Sole_Duch,PASEO,PASEO de Extremadura,https://wikidata.org/entity/Q6065619,PASEO_de_Extremadura_Madrid,de Extremadura,de_Extremadura,25,,Madrid,http://wikidata.org/entity/Q2807,Madrid,438231,4473913
77,Jose Ma Mendez Gonzalez,Jose_Ma_Mendez_Gonzalez,BULEV,BULEV de Jose Prat,,BULEV_de_Jose_Prat_Madrid,de Jose Prat,de_Jose_Prat,9,,Madrid,http://wikidata.org/entity/Q2807,Madrid,447049,4472160
78,Jesus Echarri Torres,Jesus_Echarri_Torres,CALLE,CALLE de Atocha,https://wikidata.org/entity/Q5492657,CALLE_de_Atocha_Madrid,de Atocha,de_Atocha,114,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441170,4473433
79,Ma Sol Lopez Fernandez,Ma_Sol_Lopez_Fernandez,CALLE,CALLE de Domingo Rodelgo,,CALLE_de_Domingo_Rodelgo_Morata_de_Tajuña,de Domingo Rodelgo,de_Domingo_Rodelgo,14,,Morata de Tajuña,http://wikidata.org/entity/Q1772158,Morata_de_Tajuña,462796,4453236
80,Maria De Izaskun Santos Izaguirre,Maria_De_Izaskun_Santos_Izaguirre,CALLE,CALLE del Real,,CALLE_del_Real_Carabaña,del Real,del_Real,28,,Carabaña,http://wikidata.org/entity/Q664618,Carabaña,479776,4456224
81,Pedro Juan Gonzalez De Lucas,Pedro_Juan_Gonzalez_De_Lucas,CALLE,CALLE Real,,CALLE_Real_Tielmes,Real,Real,34,,Tielmes,http://wikidata.org/entity/Q1766203,Tielmes,472949,4454969
82,Hortensia Polo Del Saz,Hortensia_Polo_Del_Saz,AVDA,AVDA del Ensanche de Vallecas,,AVDA_del_Ensanche_de_Vallecas_Madrid,del Ensanche de Vallecas,del_Ensanche_de_Vallecas,83,,Madrid,http://wikidata.org/entity/Q2807,Madrid,449431,4468129
83,Jose Miguel Tenorio Marquez,Jose_Miguel_Tenorio_Marquez,CALLE,CALLE de Jose Ortega y Gasset,https://wikidata.org/entity/Q16540548,CALLE_de_Jose_Ortega_y_Gasset_Madrid,de Jose Ortega y Gasset,de_Jose_Ortega_y_Gasset,85,,Madrid,http://wikidata.org/entity/Q2807,Madrid,443034,4475688
84,Maria Casas Galvez,Maria_Casas_Galvez,CALLE,CALLE de Lopez de Hoyos,https://wikidata.org/entity/Q27043844,CALLE_de_Lopez_de_Hoyos_Madrid,de Lopez de Hoyos,de_Lopez_de_Hoyos,121,,Madrid,http://wikidata.org/entity/Q2807,Madrid,443065,4477490
85,Maria Dolores Lopez Colmenarejo,Maria_Dolores_Lopez_Colmenarejo,PLAZA,PLAZA del Pueblo,,PLAZA_del_Pueblo_Colmenar_Viejo,del Pueblo,del_Pueblo,10,,Colmenar Viejo,http://wikidata.org/entity/Q55480,Colmenar_Viejo,435287,4501172
86,Yolanda Garcia Ballestero,Yolanda_Garcia_Ballestero,CALLE,CALLE del Marques de Viana,https://wikidata.org/entity/Q28944893,CALLE_del_Marques_de_Viana_Madrid,del Marques de Viana,del_Marques_de_Viana,3,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440726,4479131
87,Angela Casero Carretero,Angela_Casero_Carretero,CALLE,CALLE de Nuestra Señora de Valverde,https://wikidata.org/entity/Q56256719,CALLE_de_Nuestra_Señora_de_Valverde_Madrid,de Nuestra Señora de Valverde,de_Nuestra_Señora_de_Valverde,71,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441708,4483002
88,Ma Eugenia Campos Lopez,Ma_Eugenia_Campos_Lopez,CALLE,CALLE de Palencia,https://wikidata.org/entity/Q28042695,CALLE_de_Palencia_Madrid,de Palencia,de_Palencia,2,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440376,4477925
89,Alberto Javier Carrasco Martinez,Alberto_Javier_Carrasco_Martinez,CALLE,CALLE de Santa Teresa,https://wikidata.org/entity/Q28525867,CALLE_de_Santa_Teresa_Madrid,de Santa Teresa,de_Santa_Teresa,3,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440953,4475285
90,Carmen Ruiz Castro,Carmen_Ruiz_Castro,CALLE,CALLE de la Plaza,,CALLE_de_la_Plaza_Fuenlabrada,de la Plaza,de_la_Plaza,36,,Fuenlabrada,http://wikidata.org/entity/Q54902,Fuenlabrada,432474,4459471
91,Antonio Cavero Matias,Antonio_Cavero_Matias,CALLE,CALLE de Bravo Murillo,https://wikidata.org/entity/Q5740815,CALLE_de_Bravo_Murillo_Madrid,de Bravo Murillo,de_Bravo_Murillo,339,,Madrid,http://wikidata.org/entity/Q2807,Madrid,441047,4479555
92,Francisco Javier Corral Cepeda,Francisco_Javier_Corral_Cepeda,CALLE,CALLE de Hortaleza,https://wikidata.org/entity/Q5740911,CALLE_de_Hortaleza_Madrid,de Hortaleza,de_Hortaleza,96,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440796,4475126
93,Jose Manuel Jimenez Ramirez,Jose_Manuel_Jimenez_Ramirez,CALLE,CALLE de Narvaez,https://wikidata.org/entity/Q28936837,CALLE_de_Narvaez_Madrid,de Narvaez,de_Narvaez,50,,Madrid,http://wikidata.org/entity/Q2807,Madrid,442622,4474547
94,Milagros Alicia Sanchez Garcia Celada,Milagros_Alicia_Sanchez_Garcia_Celada,CALLE,CALLE de los Embajadores,https://wikidata.org/entity/Q5740826,CALLE_de_los_Embajadores_Madrid,de los Embajadores,de_los_Embajadores,102,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440553,4472625
95,Rosa Maria Barrueco Iglesias,Rosa_Maria_Barrueco_Iglesias,AVDA,AVDA de Machupichu,,AVDA_de_Machupichu_Madrid,de Machupichu,de_Machupichu,37,,Madrid,http://wikidata.org/entity/Q2807,Madrid,446807,4478940
96,Felipe Jesus Martin Nuñez,Felipe_Jesus_Martin_Nuñez,CALLE,CALLE de Galileo,https://wikidata.org/entity/Q27031392,CALLE_de_Galileo_Madrid,de Galileo,de_Galileo,61,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439755,4476399
97,Jose Daniel Jimenez Pozanco,Jose_Daniel_Jimenez_Pozanco,CALLE,CALLE Mayor,https://wikidata.org/entity/Q1149052,CALLE_Mayor_Madrid,Mayor,Mayor,59,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439782,4474128
98,Aranzazu Martinez Martinez,Aranzazu_Martinez_Martinez,CALLE,CALLE de Ferraz,https://wikidata.org/entity/Q5740837,CALLE_de_Ferraz_Madrid,de Ferraz,de_Ferraz,53,,Madrid,http://wikidata.org/entity/Q2807,Madrid,438837,4475714
99,Ramon Luis Mustieles Moreno,Ramon_Luis_Mustieles_Moreno,CALLE,CALLE del Gobernador,https://wikidata.org/entity/Q47494747,CALLE_del_Gobernador_Aranjuez,del Gobernador,del_Gobernador,87,,Aranjuez,http://wikidata.org/entity/Q486792,Aranjuez,448531,4431541
100,Isabel Cordero Diaz,Isabel_Cordero_Diaz,CALLE,CALLE del Jazmin,,CALLE_del_Jazmin_Madrid,del Jazmin,del_Jazmin,44,,Madrid,http://wikidata.org/entity/Q2807,Madrid,443516,4481141
101,Jorge Gonzalez Sanchez,Jorge_Gonzalez_Sanchez,CALLE,CALLE de Fernando el Catolico,https://wikidata.org/entity/Q27243299,CALLE_de_Fernando_el_Catolico_Madrid,de Fernando el Catolico,de_Fernando_el_Catolico,10,,Madrid,http://wikidata.org/entity/Q2807,Madrid,439988,4476171
102,Rafael Otero Company,Rafael_Otero_Company,PLAZA,PLAZA de la Puerta del Sol,https://wikidata.org/entity/Q427163,PLAZA_de_la_Puerta_del_Sol_Madrid,de la Puerta del Sol,de_la_Puerta_del_Sol,14,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440398,4474299
103,Susana Cardona Rey,Susana_Cardona_Rey,CALLE,CALLE de la Luna,https://wikidata.org/entity/Q5740922,CALLE_de_la_Luna_Madrid,de la Luna,de_la_Luna,6,,Madrid,http://wikidata.org/entity/Q2807,Madrid,440176,4474807
